topic,name,solution
Dates,1975-4-29,Vietnam War: Operation Frequent Wind: The U.S. begins to evacuate U.S. citizens from Saigon before an expected North Vietnamese takeover. U.S. involvement in the war comes to an end.
Dates,1975-4-29,Vietnam War: The North Vietnamese army completes its capture of all parts of South Vietnamese-held Trường Sa Islands.
Dates,1986-4-29,"A fire at the Central library of the City of Los Angeles Public Library damages or destroys 400,000 books and other items."
Dates,1986-4-29,Chernobyl disaster: American and European spy satellites capture the ruins of the 4th Reactor at the Chernobyl Power Plant
Dates,1991-4-29,"A cyclone strikes the Chittagong district of southeastern Bangladesh with winds of around 155 miles per hour (249 km/h), killing at least 138,000 people and leaving as many as ten million homeless."
Dates,1991-4-29,"The 7.0 Mw Racha earthquake affects Georgia with a maximum MSK intensity of IX (Destructive), killing 270 people."
Dates,1992-4-29,"Los Angeles riots: Riots in Los Angeles, following the acquittal of police officers charged with excessive force in the beating of Rodney King. Over the next three days 63 people are killed and hundreds of buildings are destroyed."
Dates,1997-4-29,"The Chemical Weapons Convention of 1993 enters into force, outlawing the production, stockpiling and use of chemical weapons by its signatories."
Dates,2011-4-29,The Wedding of Prince William and Catherine Middleton takes place at Westminster Abbey in London.
Dates,2013-4-29,"A powerful explosion occurs in an office building in Prague, believed to have been caused by natural gas, injures 43 people."
Dates,2015-4-29,"A baseball game between the Baltimore Orioles and the Chicago White Sox sets the all-time low attendance mark for Major League Baseball. Zero fans were in attendance for the game, as the stadium was officially closed to the public due to the 2015 Baltimore protests."
Dates,1315-4-30,"Enguerrand de Marigny is hanged at the instigation of Charles, Count of Valois."
Dates,1492-4-30,Spain gives Christopher Columbus his commission of exploration.
Dates,1513-4-30,"Edmund de la Pole, Yorkist pretender to the English throne, is executed on the orders of Henry VIII."
Dates,1557-4-30,Mapuche leader Lautaro is killed by Spanish forces at the Battle of Mataquito in Chile.
Dates,1598-4-30,Juan de Oñate makes a formal declaration of his Conquest of New Mexico.
Dates,1598-4-30,"Henry IV of France issues the Edict of Nantes, allowing freedom of religion to the Huguenots."
Dates,1636-4-30,Eighty Years' War: Dutch Republic forces recapture a strategically important fort from Spain after a nine-month siege.
Dates,1671-4-30,"Petar Zrinski, the Croatian Ban from the Zrinski family, is executed."
Dates,1789-4-30,"On the balcony of Federal Hall on Wall Street in New York City, George Washington takes the oath of office to become the first elected President of the United States."
Dates,1803-4-30,"Louisiana Purchase: The United States purchases the Louisiana Territory from France for $15 million, more than doubling the size of the young nation."
Dates,1812-4-30,The Territory of Orleans becomes the 18th U.S. state under the name Louisiana.
Dates,1838-4-30,Nicaragua declares independence from the Central American Federation.
Dates,1863-4-30,"A 65-man French Foreign Legion infantry patrol fights a force of nearly 2,000 Mexican soldiers to nearly the last man in Hacienda Camarón, Mexico."
Dates,1871-4-30,The Camp Grant massacre takes place in Arizona Territory.
Dates,1885-4-30,"Governor of New York David B. Hill signs legislation creating the Niagara Reservation, New York's first state park, ensuring that Niagara Falls will not be devoted solely to industrial and commercial use."
Dates,1897-4-30,"J. J. Thomson of the Cavendish Laboratory announces his discovery of the electron as a subatomic particle, over 1,800 times smaller than a proton (in the atomic nucleus), at a lecture at the Royal Institution in London.[1]"
Dates,1900-4-30,"Hawaii becomes a territory of the United States, with Sanford B. Dole as governor."
Dates,1904-4-30,"The Louisiana Purchase Exposition World's Fair opens in St. Louis, Missouri."
Dates,1905-4-30,"Albert Einstein writes his thesis Eine neue Bestimmung der Moleküldimensionen (""A New Determination of Molecular Dimensions"")."
Dates,1907-4-30,"Honolulu, Hawaii becomes an independent city."
Dates,1925-4-30,"Automaker Dodge Brothers, Inc is sold to Dillon, Read & Co. for US$146 million plus $50 million for charity."
Dates,1927-4-30,"The Federal Industrial Institute for Women opens in Alderson, West Virginia, as the first women's federal prison in the United States."
Dates,1927-4-30,Douglas Fairbanks and Mary Pickford become the first celebrities to leave their footprints in concrete at Grauman's Chinese Theater in Hollywood.
Dates,1937-4-30,The Commonwealth of the Philippines holds a plebiscite for Filipino women on whether they should be extended the right to suffrage; over 90% would vote in the affirmative.
Dates,1938-4-30,"The animated cartoon short Porky's Hare Hunt debuts in movie theaters, introducing Happy Rabbit (a prototype of Bugs Bunny)."
Dates,1939-4-30,The 1939-40 New York World's Fair opens.
Dates,1939-4-30,"NBC inaugurates its regularly scheduled television service in New York City, broadcasting President Franklin D. Roosevelt's N.Y. World's Fair opening day ceremonial address."
Dates,1943-4-30,World War II: The British submarine HMS Seraph surfaces near Huelva to cast adrift a dead man dressed as a courier and carrying false invasion plans.
Dates,1945-4-30,World War II: Führerbunker: Adolf Hitler and Eva Braun commit suicide after being married for less than 40 hours. Soviet soldiers raise the Victory Banner over the Reichstag building.
Dates,1945-4-30,"World War II: Stalag Luft I prisoner-of-war camp near Barth, Germany is liberated by Soviet soldiers, freeing nearly 9000 American and British airmen."
Dates,1947-4-30,"In Nevada, Boulder Dam is renamed Hoover Dam for the second time."
Dates,1948-4-30,"In Bogotá, Colombia, the Organization of American States is established."
Dates,1956-4-30,Former Vice President and Democratic Senator Alben Barkley dies during a speech in Virginia.
Dates,1957-4-30,Supplementary Convention on the Abolition of Slavery entered into force.
Dates,1961-4-30,"K-19, the first Soviet nuclear submarine equipped with nuclear missiles, is commissioned."
Dates,1963-4-30,"The Bristol Bus Boycott is held in Bristol to protest the Bristol Omnibus Company's refusal to employ Black or Asian bus crews, drawing national attention to racial discrimination in the United Kingdom."
Dates,1973-4-30,"Watergate scandal: U.S. President Richard Nixon announces that White House Counsel John Dean has been fired and that other top aides, most notably H. R. Haldeman and John Ehrlichman, have resigned."
Dates,1975-4-30,Fall of Saigon: Communist forces gain control of Saigon. The Vietnam War formally ends with the unconditional surrender of South Vietnamese president Dương Văn Minh.
Dates,1980-4-30,The Iranian Embassy siege begins in London.
Dates,1982-4-30,The Bijon Setu massacre occurs in Calcutta.
Dates,1992-4-30,"Nickelodeon Studios in Orlando, Florida bury a time capsule to be opened in 2042; 50 years after its burial."
Dates,1993-4-30,CERN announces World Wide Web protocols will be free.
Dates,1994-4-30,"Formula One racing driver Roland Ratzenberger is killed in a crash during the qualifying session of the San Marino Grand Prix run at Autodromo Enzo e Dino Ferrari outside Imola, Italy."
Dates,1997-4-30,"Ellen DeGeneres came out as gay. Her sitcom, Ellen, became one of first major television shows featuring an openly gay main character."
Dates,2000-4-30,"Canonization of Faustina Kowalska in the presence of 200,000 people and the first Divine Mercy Sunday celebrated worldwide."
Dates,2004-4-30,U.S. media release graphic photos of American soldiers abusing and sexually humiliating Iraqi prisoners at Abu Ghraib prison.
Dates,2008-4-30,"Two skeletal remains found near Yekaterinburg, Russia are confirmed by Russian scientists to be the remains of Alexei and Anastasia, two of the children of the last Tsar of Russia, whose entire family was executed at Yekaterinburg by the Bolsheviks."
Dates,2009-4-30,Chrysler files for Chapter 11 bankruptcy.
Dates,2009-4-30,"Seven civilians and the perpetrator are killed and another ten injured at a Queen's Day parade in Apeldoorn, Netherlands in an attempted assassination on Queen Beatrix."
Dates,2012-4-30,An overloaded ferry capsizes on the Brahmaputra River in India killing at least 103 people.
Dates,2014-4-30,A bomb blast in Ürümqi kills three people and injures 79 others.
Dates,1291-5-10,Scottish nobles recognize the authority of Edward I of England pending the selection of a king.
Dates,1497-5-10,Amerigo Vespucci allegedly leaves Cádiz for his first voyage to the New World.
Dates,1503-5-10,Christopher Columbus visits the Cayman Islands and names them Las Tortugas after the numerous turtles there.
Dates,1534-5-10,Jacques Cartier visits Newfoundland.
Dates,1655-5-10,"England, with troops under the command of Admiral William Penn and General Robert Venables, annexes Jamaica from Spain."
Dates,1688-5-10,"King Narai nominates his daughter Sudawadi to succeed him with Constantine Phaulkon, Mom Pi and Phetracha acting as regents. The ensuing revolution leads to the Ayutthaya Kingdom severing all ties with Europe."
Dates,1768-5-10,John Wilkes is imprisoned for writing an article for The North Briton severely criticizing King George III. This action provokes rioting in London.
Dates,1773-5-10,"The Parliament of Great Britain passes the Tea Act, designed to save the British East India Company by granting it a monopoly on the North American tea trade."
Dates,1774-5-10,Louis XVI and Marie Antoinette become King and Queen of France.
Dates,1775-5-10,American Revolutionary War: A small Colonial militia led by Ethan Allen and Colonel Benedict Arnold captures Fort Ticonderoga.
Dates,1775-5-10,American Revolutionary War: Representatives from the Thirteen Colonies begin the Second Continental Congress in Philadelphia.
Dates,1796-5-10,"War of the First Coalition: Napoleon I of France wins a victory against Austrian forces at Lodi bridge over the Adda River in Italy. The Austrians lose some 2,000 men."
Dates,1801-5-10,First Barbary War: The Barbary pirates of Tripoli declare war on the United States of America.
Dates,1824-5-10,The National Gallery in London opens to the public.
Dates,1833-5-10,The desecration of the grave of the viceroy of southern Vietnam Lê Văn Duyệt by Emperor Minh Mạng provokes his adopted son to start a revolt.
Dates,1837-5-10,"Panic of 1837: New York City banks fail, and unemployment reaches record levels."
Dates,1849-5-10,"Astor Place Riot: A riot breaks out at the Astor Opera House in Manhattan, New York City over a dispute between actors Edwin Forrest and William Charles Macready, killing at least 25 and injuring over 120."
Dates,1857-5-10,"Indian Rebellion of 1857: In India, the first war of Independence begins. Sepoys mutiny against their commanding officers at Meerut."
Dates,1864-5-10,"American Civil War: Colonel Emory Upton leads a 10-regiment ""Attack-in-depth"" assault against the Confederate works at The Battle of Spotsylvania, which, though ultimately unsuccessful, would provide the idea for the massive assault against the Bloody Angle on May 12. Upton is slightly wounded but is immediately promoted to brigadier general."
Dates,1865-5-10,"American Civil War: Jefferson Davis is captured by U.S. troops near Irwinville, Georgia."
Dates,1865-5-10,"American Civil War: In Kentucky, Union soldiers ambush and mortally wound Confederate raider William Quantrill, who lingers until his death on June 6."
Dates,1866-5-10,Karl of Hohenzollern-Sigmaringen is crowned the Ruling Prince of the United Principalities of Romania.
Dates,1869-5-10,"The First Transcontinental Railroad, linking the eastern and western United States, is completed at Promontory Summit, Utah with the golden spike."
Dates,1872-5-10,Victoria Woodhull becomes the first woman nominated for President of the United States.
Dates,1876-5-10,The Centennial Exposition is opened in Philadelphia by U.S. President Ulysses S. Grant and Brazilian Emperor Dom Pedro II.
Dates,1877-5-10,Romania declares itself independent from the Ottoman Empire following the Senate adoption of Mihail Kogălniceanu's Declaration of Independence.
Dates,1904-5-10,The Horch & Cir. Motorwagenwerke AG is founded. It would eventually become the Audi company.
Dates,1908-5-10,"Mother's Day is observed for the first time in the United States, in Grafton, West Virginia."
Dates,1916-5-10,"Sailing in the lifeboat James Caird, Ernest Shackleton arrives at South Georgia after a journey of 800 nautical miles from Elephant Island."
Dates,1922-5-10,The United States annexes the Kingman Reef.
Dates,1924-5-10,"J. Edgar Hoover is appointed first Director of the United States' Federal Bureau of Investigation (FBI), and remains so until his death in 1972."
Dates,1933-5-10,"Censorship: In Germany, the Nazis stage massive public book burnings."
Dates,1940-5-10,World War II: German fighters accidentally bomb the German city of Freiburg.
Dates,1940-5-10,World War II: German raids on British shipping convoys and military airfields begin.
Dates,1940-5-10,"World War II: Germany invades Belgium, the Netherlands and Luxembourg."
Dates,1940-5-10,World War II: Winston Churchill is appointed Prime Minister of the United Kingdom following the resignation of Neville Chamberlain.
Dates,1940-5-10,World War II: Invasion of Iceland by the United Kingdom.
Dates,1941-5-10,World War II: The House of Commons in London is damaged by the Luftwaffe in an air raid.
Dates,1941-5-10,World War II: Rudolf Hess parachutes into Scotland to try to negotiate a peace deal between the United Kingdom and Nazi Germany.
Dates,1942-5-10,World War II: The Thai Phayap Army invades the Shan States during the Burma Campaign.
Dates,1946-5-10,First successful launch of an American V-2 rocket at White Sands Proving Ground.
Dates,1948-5-10,"The Republic of China implements ""temporary provisions"" granting President Chiang Kai-shek extended powers to deal with the Communist uprising; they will remain in effect until 1991."
Dates,1954-5-10,"Bill Haley & His Comets release ""Rock Around the Clock"", the first rock and roll record to reach number one on the Billboard charts."
Dates,1960-5-10,"The nuclear submarine USS Triton completes Operation Sandblast, the first underwater circumnavigation of the earth."
Dates,1962-5-10,Marvel Comics publishes the first issue of The Incredible Hulk.
Dates,1967-5-10,"The Northrop M2-F2 crashes on landing, becoming the inspiration for the novel Cyborg and TV series The Six Million Dollar Man."
Dates,1969-5-10,Vietnam War: The Battle of Dong Ap Bia begins with an assault on Hill 937. It will ultimately become known as Hamburger Hill.
Dates,1970-5-10,"Bobby Orr scores ""The Goal""[1][better source needed] to win the 1970 Stanley Cup Finals, for the Boston Bruins' fourth NHL championship in their history."
Dates,1972-5-10,"In the Vietnam War, the US had two fighter ace crews. The USAF's Ritchie and DeBellevue scored their first kill while the USN's Cunningham and Driscoll scored their third, fourth and fifth kills."
Dates,1975-5-10,Sony introduces the Betamax videocassette recorder in Japan.
Dates,1981-5-10,François Mitterrand wins the presidential election and becomes the first Socialist President of France in the French Fifth Republic.
Dates,1993-5-10,"In Thailand, a fire at the Kader Toy Factory kills 156 workers."
Dates,1994-5-10,Nelson Mandela is inaugurated as South Africa's first black president.
Dates,1997-5-10,"The 7.3 Mw Qayen earthquake strikes Iran's Khorasan Province, killing 1,567, injuring over 2,300, leaving 50,000 homeless, and damaging or destroying over 15,000 homes."
Dates,2002-5-10,FBI agent Robert Hanssen is sentenced to life imprisonment without the possibility of parole for selling United States secrets to Russia for $1.4 million in cash and diamonds.
Dates,2005-5-10,"A hand grenade thrown by Vladimir Arutyunian lands about 65 feet (20 meters) from U.S. President George W. Bush while he is giving a speech to a crowd in Tbilisi, Georgia, but it malfunctions and does not detonate."
Dates,2012-5-10,"The Damascus bombings are carried out using a pair of car bombs detonated by suicide bombers outside of a military intelligence complex in Damascus, Syria, killing 55 people and injuring 400 others."
Dates,2013-5-10,One World Trade Center becomes the tallest building in the Western Hemisphere.
Dates,1310-5-11,"In France, fifty-four members of the Knights Templar are burned at the stake as heretics."
Dates,1502-5-11,Christopher Columbus departs Cádiz on his fourth and final voyage to the Americas.
Dates,1647-5-11,"Peter Stuyvesant arrives in New Amsterdam to replace Willem Kieft as Director-General of New Netherland, the Dutch colonial settlement in present-day New York City."
Dates,1672-5-11,Franco-Dutch War: Louis XIV of France invades the Netherlands.
Dates,1745-5-11,War of the Austrian Succession: Battle of Fontenoy: French forces defeat an Anglo-Dutch-Hanoverian army.
Dates,1792-5-11,Captain Robert Gray becomes the first documented white person to sail into the Columbia River.
Dates,1812-5-11,"Prime Minister Spencer Perceval is assassinated by John Bellingham in the lobby of the House of Commons, London."
Dates,1813-5-11,"In Australia, William Lawson, Gregory Blaxland and William Wentworth lead an expedition to cross the Blue Mountains west of Sydney. Their route opens up inland Australia for continued expansion throughout the 19th century."
Dates,1833-5-11,The Aberdeen-built brig Lady of the Lake struck an iceberg and sank off the coast of Newfoundland with the loss of up to 265 passengers and crew.
Dates,1846-5-11,"President James K. Polk asked for a Declaration of War against Mexico, starting the Mexican-American War. It is approved on May 13."
Dates,1857-5-11,Indian Rebellion of 1857: Indian rebels seize Delhi from the British.
Dates,1858-5-11,Minnesota is admitted as the 32nd U.S. State.
Dates,1862-5-11,"American Civil War: The ironclad CSS Virginia is scuttled in the James River northwest of Norfolk, Virginia."
Dates,1867-5-11,Luxembourg gains its independence.
Dates,1880-5-11,"Seven people are killed in the Mussel Slough Tragedy, a gun battle in California."
Dates,1889-5-11,"An attack upon a U.S. Army paymaster and escort results in the theft of over $28,000 and the award of two Medals of Honor."
Dates,1891-5-11,The Ōtsu incident: Tsarevich Nicholas Alexandrovich of Imperial Russia (later Nicholas II) suffers a critical head injury during a sword attack by Japanese policeman Tsuda Sanzō. He is rescued by Prince George of Greece and Denmark.
Dates,1894-5-11,Pullman Strike: Four thousand Pullman Palace Car Company workers go on a wildcat strike in Illinois.
Dates,1910-5-11,An act of the U.S. Congress establishes Glacier National Park in Montana.
Dates,1918-5-11,The Mountainous Republic of the Northern Caucasus is officially established.
Dates,1927-5-11,The Academy of Motion Picture Arts and Sciences is founded.
Dates,1942-5-11,"William Faulkner's collections of short stories, Go Down, Moses, is published."
Dates,1943-5-11,World War II: American troops invade Attu Island in the Aleutian Islands in an attempt to expel occupying Japanese forces.
Dates,1944-5-11,World War II: The Allies begin a major offensive against the Axis powers on the Gustav Line.
Dates,1945-5-11,"World War II: Off the coast of Okinawa, the aircraft carrier USS Bunker Hill is hit by two kamikazes, killing 346 of its crew. Although badly damaged, the ship is able to return to the U.S. under its own power."
Dates,1949-5-11,Siam officially changes its name to Thailand for the second time. The name had been in use since 1939 but was reverted in 1945.
Dates,1953-5-11,"The 1953 Waco tornado outbreak: An F5 tornado hits downtown Waco, Texas, killing 114."
Dates,1960-5-11,"In Buenos Aires, Argentina, four Israeli Mossad agents capture fugitive Nazi Adolf Eichmann who is living under the alias of Ricardo Klement."
Dates,1963-5-11,"Racist bombings in Birmingham, Alabama disrupt nonviolence in the Birmingham campaign and precipitate a crisis involving federal troops."
Dates,1970-5-11,"The Lubbock tornado, a F5 tornado, hits Lubbock, Texas, killing 26 and causing $250 million in damage."
Dates,1972-5-11,"The United States performs a nuclear test at Nevada Test Site, which was part of the series Operation Grommet and Operation Toggle."
Dates,1973-5-11,"Citing government misconduct, Daniel Ellsberg's charges for his involvement in releasing the Pentagon Papers to The New York Times are dismissed."
Dates,1985-5-11,"Bradford City stadium fire: Fifty-six spectators die and more than 200 are injured in a flash fire at Valley Parade football ground during a match against Lincoln City in Bradford, England."
Dates,1987-5-11,Klaus Barbie goes on trial in Lyon for war crimes committed during World War II.
Dates,1995-5-11,More than 170 countries extend the Nuclear Nonproliferation Treaty indefinitely and without conditions.
Dates,1996-5-11,"After the aircraft's departure from Miami, a fire started by improperly handled chemical oxygen generators in the cargo hold of Atlanta-bound ValuJet Flight 592 causes the Douglas DC-9 to crash in the Florida Everglades killing all 110 on board."
Dates,1996-5-11,The 1996 Mount Everest disaster: on a single day eight people die during summit attempts on Mount Everest.
Dates,1997-5-11,"Deep Blue, a chess-playing supercomputer, defeats Garry Kasparov in the last game of the rematch, becoming the first computer to beat a world-champion chess player in a classic match format."
Dates,1998-5-11,India conducts three underground atomic tests in Pokhran.
Dates,2000-5-11,Second Chechen War: Chechen separatists ambush Russian paramilitary forces in the Republic of Ingushetia.
Dates,2011-5-11,"Earthquake of magnitude 5.1 attacks in Lorca, Spain."
Dates,2013-5-11,"Fifty-two people are killed in a bombing in Reyhanlı, Turkey."
Dates,2014-5-11,Fifteen people are killed and 46 injured in Kinshasa in a stampede caused by tear gas being thrown into soccer stands by police officers attempting to defuse a hostile incident.
Dates,2016-5-11,More than 110 people are killed in an ISIL bombing in Baghdad.
Dates,1191-5-12,Richard I of England marries Berengaria of Navarre who is crowned Queen consort of England the same day.
Dates,1328-5-12,"Antipope Nicholas V, a claimant to the papacy, is consecrated in Rome by the Bishop of Venice."
Dates,1364-5-12,"Jagiellonian University, the oldest university in Poland, is founded in Kraków, Poland."
Dates,1510-5-12,The Prince of Anhua rebellion begins when Zhu Zhifan kills all the officials invited to a banquet and declares his intent on ousting the powerful Ming dynasty eunuch Liu Jin during the reign of the Zhengde Emperor.
Dates,1551-5-12,"National University of San Marcos, the oldest university in the Americas, is founded in Lima, Peru."
Dates,1588-5-12,"French Wars of Religion: Henry III of France flees Paris after Henry I, Duke of Guise enters the city and a spontaneous uprising occurs."
Dates,1593-5-12,London playwright Thomas Kyd is arrested and tortured by the Privy Council for libel.
Dates,1619-5-12,Dutch statesman Johan van Oldenbarnevelt is sentenced to death for high treason.
Dates,1689-5-12,King William's War: William III of England joins the League of Augsburg starting a war with France.
Dates,1743-5-12,"Maria Theresa of Austria is crowned Queen of Bohemia after defeating her rival, Charles VII, Holy Roman Emperor."
Dates,1780-5-12,"American Revolutionary War: In the largest defeat of the Continental Army, Charleston, South Carolina is taken by British forces."
Dates,1784-5-12,"The Treaty of Paris signed on September 3, 1783, takes effect on this date."
Dates,1797-5-12,War of the First Coalition: Napoleon I of France conquers Venice.
Dates,1821-5-12,The first major battle of the Greek War of Independence against the Turks is fought in Valtetsi.
Dates,1846-5-12,"The Donner Party of pioneers departs Independence, Missouri for California, on what will become a year-long journey of hardship and cannibalism."
Dates,1862-5-12,"American Civil War: U.S. federal troops occupy Baton Rouge, Louisiana."
Dates,1863-5-12,"American Civil War: Battle of Raymond: Two divisions of James B. McPherson's XVII Corps turn the left wing of Confederate General John C. Pemberton's defensive line on Fourteen Mile Creek, opening up the interior of Mississippi to the Union Army during the Vicksburg Campaign."
Dates,1864-5-12,"American Civil War: The Battle of Spotsylvania Court House: Thousands of Union and Confederate soldiers die in ""the Bloody Angle""."
Dates,1865-5-12,"American Civil War: The Battle of Palmito Ranch: The first day of the last major land action to take place during the Civil War, resulting in a Confederate victory."
Dates,1870-5-12,"The Manitoba Act is given the Royal Assent, paving the way for Manitoba to become a province of Canada on July 15."
Dates,1881-5-12,"In North Africa, Tunisia becomes a French protectorate."
Dates,1885-5-12,"North-West Rebellion: The four-day Battle of Batoche, pitting rebel Métis against the Canadian government, comes to an end with a decisive rebel defeat."
Dates,1888-5-12,"In Southeast Asia, the North Borneo Chartered Company's territories become the British protectorate of North Borneo."
Dates,1926-5-12,The Italian-built airship Norge becomes the first vessel to fly over the North Pole.
Dates,1932-5-12,"Ten weeks after his abduction, the infant son of Charles Lindbergh, Charles Jr., is found dead in Hopewell, New Jersey, just a few miles from the Lindberghs' home."
Dates,1933-5-12,The Agricultural Adjustment Act is enacted to restrict agricultural production by paying farmers subsidies.
Dates,1937-5-12,The Duke and Duchess of York are crowned as King George VI and Queen Elizabeth of the United Kingdom of Great Britain and Northern Ireland in Westminster Abbey.
Dates,1941-5-12,"Konrad Zuse presents the Z3, the world's first working programmable, fully automatic computer, in Berlin."
Dates,1942-5-12,"World War II: Second Battle of Kharkov: In eastern Ukraine, Red Army forces under Marshal Semyon Timoshenko launch a major offensive from the Izium bridgehead, only to be encircled and destroyed by the troops of Army Group South two weeks later."
Dates,1942-5-12,World War II: The U.S. tanker SS Virginia is torpedoed in the mouth of the Mississippi River by the German submarine U-507.
Dates,1948-5-12,"Wilhelmina, Queen regnant of the Kingdom of the Netherlands, cedes the throne."
Dates,1949-5-12,The Soviet Union lifts its blockade of Berlin.
Dates,1949-5-12,The western occupying powers approve the Basic Law for the new German state: the Federal Republic of Germany.
Dates,1965-5-12,The Soviet spacecraft Luna 5 crashes on the Moon.
Dates,1968-5-12,Vietnam War: North Vietnamese and Viet Cong forces attack Australian troops defending Fire Support Base Coral.
Dates,1978-5-12,"In Zaire, rebels occupy the city of Kolwezi, the mining center of the province of Shaba (now known as Katanga); the local government asks the US, France and Belgium to restore order."
Dates,1981-5-12,"Francis Hughes, Provisional IRA hunger striker, dies in the Maze Prison, Northern Ireland."
Dates,1982-5-12,"During a procession outside the shrine of the Virgin Mary in Fátima, Portugal, security guards overpower Juan María Fernández y Krohn before he can attack Pope John Paul II with a bayonet."
Dates,1989-5-12,The San Bernardino train disaster kills four people. A week later an underground gasoline pipeline explodes killing two more people.
Dates,1998-5-12,"Four students are shot at Trisakti University, leading to widespread riots and the fall of Suharto."
Dates,2002-5-12,"Former US President Jimmy Carter arrives in Cuba for a five-day visit with Fidel Castro, becoming the first President of the United States, in or out of office, to visit the island since Castro's 1959 revolution."
Dates,2003-5-12,"The Riyadh compound bombings, carried out by al-Qaeda, kill 26 people."
Dates,2006-5-12,"Mass unrest by the Primeiro Comando da Capital begins in São Paulo (Brazil), leaving at least 150 dead."
Dates,2006-5-12,"Iranian Azeris interpret a cartoon published in an Iranian magazine as insulting, resulting in massive riots throughout the country."
Dates,2008-5-12,"An earthquake (measuring around 8.0 magnitude) occurs in Sichuan, China, killing over 69,000 people."
Dates,2008-5-12,"U.S. Immigration and Customs Enforcement conducts the largest-ever raid of a workplace in Postville, Iowa, arresting nearly 400 immigrants for identity theft and document fraud."
Dates,2015-5-12,A train derailment in Philadelphia kills eight people and injures more than 200.
Dates,2015-5-12,Massive Nepal earthquake kills 218 people and injures more than 3500.
Dates,2017-5-12,"A ransomware attack attacks over 400 thousand computers worldwide, targeting computers of the UK'S National Health Services and Telefónica computers."
Dates,1373-5-13,Julian of Norwich has visions which are later transcribed in her Revelations of Divine Love.
Dates,1515-5-13,"Mary Tudor, Queen of France, and Charles Brandon, 1st Duke of Suffolk, are officially married at Greenwich."
Dates,1568-5-13,"Battle of Langside: The forces of Mary, Queen of Scots, are defeated by a confederacy of Scottish Protestants under James Stewart, Earl of Moray, her half-brother."
Dates,1619-5-13,Dutch statesman Johan van Oldenbarnevelt is executed in The Hague after being convicted of treason.
Dates,1779-5-13,War of the Bavarian Succession: Russian and French mediators at the Congress of Teschen negotiate an end to the war. In the agreement Austria receives the part of its territory that was taken from it (the Innviertel).
Dates,1780-5-13,The Cumberland Compact is signed by leaders of the settlers in early Tennessee.
Dates,1787-5-13,"Captain Arthur Phillip leaves Portsmouth, England, with eleven ships full of convicts (the ""First Fleet"") to establish a penal colony in Australia."
Dates,1804-5-13,Forces sent by Yusuf Karamanli of Tripoli to retake Derna from the Americans attack the city.
Dates,1830-5-13,Ecuador gains its independence from Gran Colombia.
Dates,1846-5-13,Mexican-American War: The United States declares war on Mexico.
Dates,1861-5-13,"American Civil War: Queen Victoria of the United Kingdom issues a ""proclamation of neutrality"" which recognizes the breakaway states as having belligerent rights."
Dates,1861-5-13,"The Great Comet of 1861 is discovered by John Tebbutt of Windsor, New South Wales, Australia."
Dates,1861-5-13,"Pakistan's (then a part of British India) first railway line opens, from Karachi to Kotri."
Dates,1862-5-13,"The USS Planter, a steamer and gunship, steals through Confederate lines and is passed to the Union, by a southern slave, Robert Smalls, who later was officially appointed as captain, becoming the first black man to command a United States ship."
Dates,1864-5-13,American Civil War: Battle of Resaca: The battle begins with Union General Sherman fighting toward Atlanta.
Dates,1865-5-13,"American Civil War: Battle of Palmito Ranch: In far south Texas, the last land battle of the Civil War ends with a Confederate victory."
Dates,1880-5-13,"In Menlo Park, New Jersey, Thomas Edison performs the first test of his electric railway."
Dates,1888-5-13,"With the passage of the Lei Áurea (""Golden Law""), Empire of Brazil abolishes slavery."
Dates,1909-5-13,The first Giro d'Italia starts from Milan. Italian cyclist Luigi Ganna will be the winner.
Dates,1912-5-13,"The Royal Flying Corps, the forerunner of the Royal Air Force, is established in the United Kingdom."
Dates,1917-5-13,"Three children report the first apparition of Our Lady of Fátima in Fátima, Portugal."
Dates,1939-5-13,"The first commercial FM radio station in the United States is launched in Bloomfield, Connecticut. The station later becomes WDRC-FM."
Dates,1940-5-13,"World War II: Germany's conquest of France begins as the German army crosses the Meuse. Winston Churchill makes his ""blood, toil, tears, and sweat"" speech to the House of Commons."
Dates,1940-5-13,Queen Wilhelmina of the Netherlands flees her country to Great Britain after the German invasion. Princess Juliana takes her children to Canada for their safety.
Dates,1941-5-13,"World War II: Yugoslav royal colonel Dragoljub Mihailović starts fighting with German occupation troops, beginning the Serbian resistance."
Dates,1943-5-13,World War II: German Afrika Korps and Italian troops in North Africa surrender to Allied forces.
Dates,1948-5-13,"Arab-Israeli War: The Kfar Etzion massacre is committed by Arab irregulars, the day before the declaration of independence of the state of Israel on May 14."
Dates,1950-5-13,The first round of the Formula One World Championship is held at Silverstone.
Dates,1951-5-13,The 400th anniversary of the founding of the National University of San Marcos is commemorated by the opening of the first large-capacity stadium in Peru.
Dates,1952-5-13,"The Rajya Sabha, the upper house of the Parliament of India, holds its first sitting."
Dates,1954-5-13,"The anti-National Service Riots, by Chinese middle school students in Singapore, take place."
Dates,1954-5-13,"The original Broadway production of The Pajama Game opens and runs for another 1,063 performances. Later received three Tony Awards for Best Musical, Best Performance by a Featured Actress in a Musical, and Best Choreography."
Dates,1958-5-13,"During a visit to Caracas, Venezuela, Vice President Richard Nixon's car is attacked by anti-American demonstrators."
Dates,1958-5-13,May 1958 crisis: A group of French military officers lead a coup in Algiers demanding that a government of national unity be formed with Charles de Gaulle at its head in order to defend French control of Algeria.
